"ID";"Airports";"Periods";"TotalFlights_3";"TotalArrivalsFlights_6";"TotalDeparturesFlights_9";"TotalPassengers_12";"TotalArrivalsPassengers_15";"TotalDeparturesPassengers_18";"TotalCountryOfOriginDestination_21";"EuropeTotal_22";"EUCountries_23";"TotalIntercontinentalPassengers_25";"America_32";"Asia_36";"WestAsia_37";"SouthEastAsia_38";"NorthEastAsia_39"
"0";"A045844";"1997JJ00";"  400118";"  200040";"  200078";"32074513";"16013919";"16060594";"32074513";"21239558";"17658777";"10751804";" 6038044";" 3379017";" 1103362";" 1252522";" 1023133"
"1";"A045844";"1998JJ00";"  425608";"  212751";"  212857";"35129029";"17484447";"17644582";"35129029";"23548703";"19613702";"11466164";" 6367845";" 3680895";" 1223619";" 1346148";" 1111128"
"2";"A045844";"1999MM01";"   33145";"   16565";"   16580";" 2439980";" 1226117";" 1213863";" 2439980";" 1559839";" 1317817";"  876945";"  455002";"  298997";"   88737";"  129031";"   81229"
"3";"A045844";"1999MM02";"   30912";"   15444";"   15468";" 2405830";" 1194375";" 1211455";" 2405830";" 1604074";" 1365968";"  798996";"  408987";"  274295";"   82654";"  110775";"   80866"
"4";"A045844";"1999MM03";"   35591";"   17802";"   17789";" 2905023";" 1457675";" 1447348";" 2905023";" 1911957";" 1630143";"  989194";"  531834";"  330139";"  105905";"  120094";"  104140"
"5";"A045844";"1999KW01";"   99648";"   49811";"   49837";" 7750833";" 3878167";" 3872666";" 7750833";" 5075870";" 4313928";" 2665135";" 1395823";"  903431";"  277296";"  359900";"  266235"
"6";"A045844";"1999MM04";"   35832";"   17910";"   17922";" 2983754";" 1468181";" 1515573";" 2983754";" 2003716";" 1707582";"  975511";"  524706";"  331128";"  114182";"  109316";"  107630"
"7";"A045844";"1999MM05";"   38376";"   19200";"   19176";" 3399339";" 1701169";" 1698170";" 3399339";" 2354180";" 1996034";" 1033553";"  588521";"  326257";"  112851";"  105889";"  107517"
"8";"A045844";"1999MM06";"   37971";"   18991";"   18980";" 3357773";" 1657203";" 1700570";" 3357773";" 2297541";" 1928122";" 1047597";"  614953";"  314288";"  106125";"  101899";"  106264"
"9";"A045844";"1999KW02";"  112179";"   56101";"   56078";" 9740866";" 4826553";" 4914313";" 9740866";" 6655437";" 5631738";" 3056661";" 1728180";"  971673";"  333158";"  317104";"  321411"
"10";"A045844";"1999MM07";"   39824";"   19904";"   19920";" 3753435";" 1756699";" 1996736";" 3753435";" 2548119";" 2084124";" 1194156";"  670512";"  365967";"  128138";"  116167";"  121662"
"11";"A045844";"1999MM08";"   39908";"   19961";"   19947";" 3850371";" 2014765";" 1835606";" 3850371";" 2584440";" 2106132";" 1253165";"  692770";"  395456";"  150219";"  123020";"  122217"
"12";"A045844";"1999MM09";"   38969";"   19478";"   19491";" 3610066";" 1812291";" 1797775";" 3610066";" 2468932";" 2081781";" 1127952";"  634140";"  350160";"  121234";"  111050";"  117876"
"13";"A045844";"1999KW03";"  118701";"   59343";"   59358";"11213872";" 5583755";" 5630117";"11213872";" 7601491";" 6272037";" 3575273";" 1997422";" 1111583";"  399591";"  350237";"  361755"
"14";"A045844";"1999MM10";"   39553";"   19779";"   19774";" 3577374";" 1806100";" 1771274";" 3577374";" 2417121";" 2026668";" 1150268";"  628633";"  374954";"  134680";"  122041";"  118233"
"15";"A045844";"1999MM11";"   37387";"   18704";"   18683";" 2889913";" 1459437";" 1430476";" 2889913";" 1902396";" 1614143";"  984978";"  515870";"  335969";"  105347";"  132419";"   98203"
"16";"A045844";"1999MM12";"   35119";"   17592";"   17527";" 2531172";" 1264854";" 1266318";" 2531172";" 1649564";" 1386383";"  879668";"  464360";"  295176";"   92084";"  119712";"   83380"
"17";"A045844";"1999KW04";"  112059";"   56075";"   55984";" 8998459";" 4530391";" 4468068";" 8998459";" 5969081";" 5027194";" 3014914";" 1608863";" 1006099";"  332111";"  374172";"  299816"
"18";"A045844";"1999JJ00";"  442587";"  221330";"  221257";"37704030";"18818866";"18885164";"37704030";"25301879";"21244897";"12311983";" 6730288";" 3992786";" 1342156";" 1401413";" 1249217"
"19";"A045844";"2000MM01";"   36446";"   18182";"   18264";" 2563382";" 1278929";" 1284453";" 2563382";" 1653050";" 1385710";"  910332";"  468432";"  314652";"   91217";"  135072";"   88363"
"20";"A045844";"2000MM02";"   36041";"   18024";"   18017";" 2641094";" 1289485";" 1351609";" 2641094";" 1753422";" 1487079";"  887672";"  444379";"  314562";"   91972";"  130297";"   92293"
"21";"A045844";"2000MM03";"   38790";"   19396";"   19394";" 3162563";" 1603733";" 1558830";" 3162563";" 2110583";" 1777349";" 1051978";"  555392";"  354650";"  114210";"  132135";"  108305"
"22";"A045844";"2000KW01";"  111277";"   55602";"   55675";" 8367039";" 4172147";" 4194892";" 8367039";" 5517055";" 4650138";" 2849982";" 1468203";"  983864";"  297399";"  397504";"  288961"
"23";"A045844";"2000MM04";"   38281";"   19143";"   19138";" 3326762";" 1628248";" 1698514";" 3326762";" 2241068";" 1870313";" 1085690";"  575714";"  371650";"  129864";"  124354";"  117432"
"24";"A045844";"2000MM05";"   41972";"   20995";"   20977";" 3706883";" 1845433";" 1861450";" 3706883";" 2602356";" 2154141";" 1104523";"  623217";"  355707";"  122601";"  113051";"  120055"
"25";"A045844";"2000MM06";"   40483";"   20248";"   20235";" 3661177";" 1829019";" 1832158";" 3661177";" 2540998";" 2065738";" 1120179";"  655471";"  339040";"  110585";"  110128";"  118327"
"26";"A045844";"2000KW02";"  120736";"   60386";"   60350";"10694822";" 5302700";" 5392122";"10694822";" 7384422";" 6090192";" 3310392";" 1854402";" 1066397";"  363050";"  347533";"  355814"
"27";"A045844";"2000MM07";"   42092";"   21045";"   21047";" 4121196";" 1929467";" 2191729";" 4121196";" 2837159";" 2269163";" 1284037";"  714381";"  403142";"  141439";"  125555";"  136148"
"28";"A045844";"2000MM08";"   42255";"   21124";"   21131";" 4096727";" 2150204";" 1946523";" 4096727";" 2807034";" 2240136";" 1289693";"  702802";"  409908";"  150100";"  127893";"  131915"
"29";"A045844";"2000MM09";"   40476";"   20245";"   20231";" 3897872";" 1943139";" 1954733";" 3897872";" 2709597";" 2218964";" 1188275";"  651033";"  380468";"  126223";"  121304";"  132941"
"30";"A045844";"2000KW03";"  124823";"   62414";"   62409";"12115795";" 6022810";" 6092985";"12115795";" 8353790";" 6728263";" 3762005";" 2068216";" 1193518";"  417762";"  374752";"  401004"
"31";"A045844";"2000MM10";"   41254";"   20624";"   20630";" 3803796";" 1938661";" 1865135";" 3803796";" 2627702";" 2150564";" 1176094";"  620993";"  394934";"  129359";"  132597";"  132978"
"32";"A045844";"2000MM11";"   37280";"   18640";"   18640";" 3004146";" 1511732";" 1492414";" 3004146";" 1990482";" 1668669";" 1013657";"  521696";"  348726";"   96316";"  142380";"  110030"
